speaker,language,sex,duration,age,language_long,language_family,speech_rate,info_rate
CMN_F1(Hu),CMN,F,11.37,19,Mandarin Chinese,Sino-Tibetan,6.068601583113457,42.237467018469665
CMN_F1(Hu),CMN,F,9.87,19,Mandarin Chinese,Sino-Tibetan,5.775075987841945,40.19452887537994
CMN_F1(Hu),CMN,F,16.93,19,Mandarin Chinese,Sino-Tibetan,5.906674542232723,41.110454813939754
CMN_F1(Hu),CMN,F,12.18,19,Mandarin Chinese,Sino-Tibetan,5.74712643678161,40
CMN_F1(Hu),CMN,F,11.37,19,Mandarin Chinese,Sino-Tibetan,5.716798592788039,39.78891820580475
CMN_F1(Hu),CMN,F,14.44,19,Mandarin Chinese,Sino-Tibetan,5.332409972299169,37.11357340720222
CMN_F1(Hu),CMN,F,13.23,19,Mandarin Chinese,Sino-Tibetan,5.895691609977324,41.034013605442176
CMN_F1(Hu),CMN,F,12.7,19,Mandarin Chinese,Sino-Tibetan,5.984251968503937,41.650393700787404
CMN_F1(Hu),CMN,F,11.87,19,Mandarin Chinese,Sino-Tibetan,5.728727885425442,39.87194608256108
CMN_F1(Hu),CMN,F,9.53,19,Mandarin Chinese,Sino-Tibetan,5.981112277019937,41.62854144805876
CMN_F2(Yu),CMN,F,10.22,19,Mandarin Chinese,Sino-Tibetan,5.870841487279843,40.86105675146771
CMN_F2(Yu),CMN,F,12.09,19,Mandarin Chinese,Sino-Tibetan,6.038047973531844,42.024813895781634
CMN_F2(Yu),CMN,F,12.35,19,Mandarin Chinese,Sino-Tibetan,5.910931174089069,41.14008097165992
CMN_F2(Yu),CMN,F,14.61,19,Mandarin Chinese,Sino-Tibetan,5.475701574264203,38.110882956878854
CMN_F2(Yu),CMN,F,10.81,19,Mandarin Chinese,Sino-Tibetan,5.9204440333024975,41.20629047178538
CMN_F2(Yu),CMN,F,11.41,19,Mandarin Chinese,Sino-Tibetan,6.047326906222612,42.08939526730938
CMN_F2(Yu),CMN,F,9.88,19,Mandarin Chinese,Sino-Tibetan,5.769230769230769,40.15384615384615
CMN_F2(Yu),CMN,F,17.75,19,Mandarin Chinese,Sino-Tibetan,5.633802816901408,39.2112676056338
CMN_F2(Yu),CMN,F,12.47,19,Mandarin Chinese,Sino-Tibetan,5.613472333600641,39.06976744186046
CMN_F2(Yu),CMN,F,11.8,19,Mandarin Chinese,Sino-Tibetan,5.508474576271186,38.33898305084745
CMN_F2(Yu),CMN,F,14.94,19,Mandarin Chinese,Sino-Tibetan,5.1539491298527444,35.8714859437751
CMN_F2(Yu),CMN,F,13.7,19,Mandarin Chinese,Sino-Tibetan,5.693430656934307,39.62627737226278
CMN_F2(Yu),CMN,F,13,19,Mandarin Chinese,Sino-Tibetan,5.846153846153846,40.68923076923077
CMN_F2(Yu),CMN,F,11.46,19,Mandarin Chinese,Sino-Tibetan,5.933682373472949,41.29842931937172
CMN_F2(Yu),CMN,F,9.97,19,Mandarin Chinese,Sino-Tibetan,5.717151454363089,39.791374122367095
CMN_F3(Ma),CMN,F,11.66,25,Mandarin Chinese,Sino-Tibetan,5.145797598627787,35.8147512864494
CMN_F3(Ma),CMN,F,14.58,25,Mandarin Chinese,Sino-Tibetan,5.0068587105624145,34.84773662551441
CMN_F3(Ma),CMN,F,13.59,25,Mandarin Chinese,Sino-Tibetan,5.37159676232524,37.386313465783665
CMN_F3(Ma),CMN,F,16.89,25,Mandarin Chinese,Sino-Tibetan,4.736530491415039,32.96625222024867
CMN_F3(Ma),CMN,F,12.07,25,Mandarin Chinese,Sino-Tibetan,5.302402651201326,36.90472245236123
CMN_F3(Ma),CMN,F,12.3,25,Mandarin Chinese,Sino-Tibetan,5.609756097560975,39.043902439024386
CMN_F3(Ma),CMN,F,10.61,25,Mandarin Chinese,Sino-Tibetan,5.372290292177191,37.391140433553254
CMN_F3(Ma),CMN,F,18.43,25,Mandarin Chinese,Sino-Tibetan,5.425935973955507,37.76451437873033
CMN_F3(Ma),CMN,F,14.2,25,Mandarin Chinese,Sino-Tibetan,4.929577464788733,34.30985915492958
CMN_F3(Ma),CMN,F,12.37,25,Mandarin Chinese,Sino-Tibetan,5.254648342764754,36.57235246564269
CMN_F3(Ma),CMN,F,16.53,25,Mandarin Chinese,Sino-Tibetan,4.6581972171808825,32.421052631578945
CMN_F3(Ma),CMN,F,14.19,25,Mandarin Chinese,Sino-Tibetan,5.496828752642706,38.25792811839324
CMN_F3(Ma),CMN,F,14.19,25,Mandarin Chinese,Sino-Tibetan,5.355884425651868,37.276955602537
CMN_F3(Ma),CMN,F,13.68,25,Mandarin Chinese,Sino-Tibetan,4.970760233918129,34.59649122807018
CMN_F3(Ma),CMN,F,11.22,25,Mandarin Chinese,Sino-Tibetan,5.080213903743315,35.35828877005348
CMN_F4(Fe),CMN,F,9.83,28,Mandarin Chinese,Sino-Tibetan,6.103763987792472,42.4821973550356
CMN_F4(Fe),CMN,F,11.23,28,Mandarin Chinese,Sino-Tibetan,6.500445235975066,45.24309884238646
CMN_F4(Fe),CMN,F,11.5,28,Mandarin Chinese,Sino-Tibetan,6.3478260869565215,44.18086956521739
CMN_F4(Fe),CMN,F,15.31,28,Mandarin Chinese,Sino-Tibetan,5.2253429131286735,36.36838667537557
CMN_F4(Fe),CMN,F,10.75,28,Mandarin Chinese,Sino-Tibetan,5.953488372093023,41.436279069767444
CMN_F4(Fe),CMN,F,11.5,28,Mandarin Chinese,Sino-Tibetan,6,41.76
CMN_F4(Fe),CMN,F,9.07,28,Mandarin Chinese,Sino-Tibetan,6.284454244762955,43.739801543550165
CMN_F4(Fe),CMN,F,17.54,28,Mandarin Chinese,Sino-Tibetan,5.701254275940707,39.68072976054732
CMN_F4(Fe),CMN,F,12.72,28,Mandarin Chinese,Sino-Tibetan,5.50314465408805,38.30188679245283
CMN_F4(Fe),CMN,F,11.57,28,Mandarin Chinese,Sino-Tibetan,5.617977528089887,39.10112359550561
CMN_F4(Fe),CMN,F,14.36,28,Mandarin Chinese,Sino-Tibetan,5.362116991643454,37.32033426183844
CMN_F4(Fe),CMN,F,15,28,Mandarin Chinese,Sino-Tibetan,5.2,36.192
CMN_F4(Fe),CMN,F,13.01,28,Mandarin Chinese,Sino-Tibetan,5.841660261337433,40.65795541890853
CMN_F4(Fe),CMN,F,13.03,28,Mandarin Chinese,Sino-Tibetan,5.218726016884114,36.322333077513434
CMN_F4(Fe),CMN,F,9.65,28,Mandarin Chinese,Sino-Tibetan,5.9067357512953365,41.11088082901554
CMN_F6(Xu),CMN,F,9.12,NA,Mandarin Chinese,Sino-Tibetan,6.578947368421053,45.78947368421053
CMN_F6(Xu),CMN,F,10.25,NA,Mandarin Chinese,Sino-Tibetan,7.121951219512195,49.56878048780488
CMN_F6(Xu),CMN,F,10.71,NA,Mandarin Chinese,Sino-Tibetan,6.816059757236228,47.43977591036414
CMN_F6(Xu),CMN,F,12.98,NA,Mandarin Chinese,Sino-Tibetan,6.163328197226502,42.89676425269645
CMN_F6(Xu),CMN,F,9.47,NA,Mandarin Chinese,Sino-Tibetan,6.75818373812038,47.036958817317846
CMN_F6(Xu),CMN,F,9.55,NA,Mandarin Chinese,Sino-Tibetan,7.225130890052355,50.28691099476439
CMN_F6(Xu),CMN,F,8.17,NA,Mandarin Chinese,Sino-Tibetan,6.976744186046512,48.55813953488372
CMN_F6(Xu),CMN,F,16.12,NA,Mandarin Chinese,Sino-Tibetan,6.203473945409429,43.17617866004962
CMN_F6(Xu),CMN,F,10.93,NA,Mandarin Chinese,Sino-Tibetan,6.404391582799634,44.57456541628545
CMN_F6(Xu),CMN,F,9.41,NA,Mandarin Chinese,Sino-Tibetan,6.9075451647183845,48.07651434643996
CMN_F6(Xu),CMN,F,13.4,NA,Mandarin Chinese,Sino-Tibetan,5.746268656716418,39.994029850746266
CMN_F6(Xu),CMN,F,12.03,NA,Mandarin Chinese,Sino-Tibetan,6.483790523690773,45.12718204488778
CMN_F6(Xu),CMN,F,11.49,NA,Mandarin Chinese,Sino-Tibetan,6.614447345517841,46.03655352480418
CMN_F6(Xu),CMN,F,10.17,NA,Mandarin Chinese,Sino-Tibetan,6.686332350049164,46.53687315634218
CMN_F6(Xu),CMN,F,8.96,NA,Mandarin Chinese,Sino-Tibetan,6.361607142857142,44.27678571428571
CMN_M1(Cha),CMN,M,11.38,19,Mandarin Chinese,Sino-Tibetan,5.272407732864674,36.69595782073813
CMN_M1(Cha),CMN,M,13.15,19,Mandarin Chinese,Sino-Tibetan,5.551330798479087,38.63726235741445
CMN_M1(Cha),CMN,M,13.63,19,Mandarin Chinese,Sino-Tibetan,5.3558327219369035,37.27659574468085
CMN_M1(Cha),CMN,M,16.18,19,Mandarin Chinese,Sino-Tibetan,4.944375772558715,34.412855377008654
CMN_M1(Cha),CMN,M,12.55,19,Mandarin Chinese,Sino-Tibetan,5.099601593625498,35.493227091633464
CMN_M1(Cha),CMN,M,12.81,19,Mandarin Chinese,Sino-Tibetan,5.386416861826698,37.48946135831382
CMN_M1(Cha),CMN,M,10.55,19,Mandarin Chinese,Sino-Tibetan,5.402843601895734,37.603791469194306
CMN_M1(Cha),CMN,M,19.62,19,Mandarin Chinese,Sino-Tibetan,5.09683995922528,35.474006116207946
CMN_M1(Cha),CMN,M,13.01,19,Mandarin Chinese,Sino-Tibetan,5.380476556495004,37.448116833205226
CMN_M1(Cha),CMN,M,12.49,19,Mandarin Chinese,Sino-Tibetan,5.204163330664532,36.220976781425136
CMN_M1(Cha),CMN,M,15.81,19,Mandarin Chinese,Sino-Tibetan,4.87033523086654,33.89753320683112
CMN_M1(Cha),CMN,M,15.6,19,Mandarin Chinese,Sino-Tibetan,5,34.8
CMN_M1(Cha),CMN,M,14.68,19,Mandarin Chinese,Sino-Tibetan,5.177111716621254,36.032697547683924
CMN_M1(Cha),CMN,M,13.45,19,Mandarin Chinese,Sino-Tibetan,5.055762081784387,35.18810408921933
CMN_M1(Cha),CMN,M,10.7,19,Mandarin Chinese,Sino-Tibetan,5.327102803738318,37.07663551401869
CMN_M2(Ye),CMN,M,8.29,24,Mandarin Chinese,Sino-Tibetan,7.237635705669482,50.37394451145959
CMN_M2(Ye),CMN,M,10.9,24,Mandarin Chinese,Sino-Tibetan,6.697247706422018,46.61284403669724
CMN_M2(Ye),CMN,M,10.14,24,Mandarin Chinese,Sino-Tibetan,7.199211045364891,50.10650887573964
